GeneID	Length	EpCAM-P-4
66957	1699	0
116872	1887	0
18788	2047	0
241197	3490	1
20725	3289	168
241201	3353	0
227485	3054	3
319901	5763	162
636808	3915	0
634762	729	0
22099	3040	936
67949	1894	236
76707	7899	442
68204	597	14
81879	9270	4129
14633	6708	29
16324	4255	208
100502628	748	0
64143	2277	262
226351	2830	127
226352	7746	903
19258	4707	82
66343	3301	71
226356	2511	8
319229	1924	0
170706	1017	283
13167	745	2117
73103	1089	20
68428	3177	197
226359	2000	38
17167	1985	1
13798	2554	0
98452	1580	0
72999	2524	731
70829	7256	270
15564	2019	0
66942	2249	89
100502702	453	0
269109	4630	0
74117	2746	1981
74150	2597	781
71111	2690	15
72585	2047	0
210356	7593	1147
107895	3104	77
667090	484	53
72160	2517	1690
266645	2303	1
100502745	464	1
72949	3514	988
22625	3936	4
226407	4251	851
226409	4154	33
226412	4812	456
387147	70	0
67812	4093	1336
226413	6166	6
17219	2901	403
226414	2509	544
12767	1814	53
210417	6253	1
100042740	613	10
13137	1324	1
13136	2527	921
22789	2034	0
12269	1883	4
12270	754	12
18640	9621	4165
226418	3843	211
212439	2909	1143
64435	1911	51
100502856	1065	13
18703	3849	135
69169	1491	1
93672	1116	0
58181	824	0
329244	1023	0
16153	1306	1
17164	2567	2909
226419	2072	83
16865	2290	709
54354	3405	37
56489	3203	29
14270	8040	601
108900	2105	18
26361	4148	0
13034	2120	1
226421	2523	28
320718	3640	4665
212933	3540	309
98396	4660	1152
226422	1189	114
98415	6096	1206
212980	3426	56
13714	3671	226
213006	4853	87
18557	3046	359
723818	97	0
213409	958	0
213417	4269	32
74137	3132	216
68875	3410	115
213452	6385	539
213464	3632	457
74626	1742	61
21367	9535	0
269116	10379	0
100038653	1879	0
16980	3346	8
17248	3490	747
240752	7929	635
108954	5588	1156
240753	7457	582
100502933	3112	23
68338	1842	21
280287	496	6
19701	1423	0
214253	2279	9
20668	3531	390
20643	492	249
70579	4395	2447
667118	5007	676
240754	2371	0
381290	8292	113
269120	2074	2
116847	3602	2510
100502984	884	0
14264	2859	31
100502999	532	13
12227	3083	6502
667414	432	0
71884	1711	4
12654	1689	72396
53311	1829	21
11539	5786	178
17928	1480	0
68507	6067	29
57439	3169	867
240755	1770	0
72017	1626	521
72674	2024	1922
100861791	590	0
240756	3196	309
98710	1960	277
100503055	641	0
71001	1457	0
75605	6300	487
20980	3386	12
329251	6185	66
67196	1079	14
329252	3623	10
13924	6089	1
100038590	915	0
320139	3264	0
68724	1702	579
171469	2253	2
13710	2000	1217
215615	2301	1364
21854	917	275
93689	3942	75
77552	1190	125
226432	6236	688
215690	12767	157
13007	1770	6816
27280	1467	165
21952	1114	0
16763	2992	83
21956	1194	1
18772	4486	1
226438	8996	0
66241	1750	769
12292	6260	50
329253	508	0
16565	9119	276
76422	2922	1
67313	3013	77
100042513	584	0
383563	1960	1
67886	7823	918
320054	2097	4
67997	2228	123
381293	8770	6
71084	1846	0
226442	5275	468
100503460	489	9
100503474	1199	20
667686	385	2
26424	3857	2
320138	3023	0
735252	87	0
723890	80	0
19264	5664	29
338375	1887	15
59125	3366	771
545363	1930	0
16876	5750	0
69549	571	50
75546	410	0
329260	8314	266
170788	4702	2
71209	1111	0
226470	8362	283
12316	9866	12
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	4
545366	1602	1
12628	4365	1732
240776	3957	0
75910	551	0
226472	591	0
214498	2678	296
26878	4578	0
69367	3730	250
20822	8721	959
56207	1851	152
19735	3009	174
100861894	494	0
246709	1497	0
50778	1330	7
624910	459	0
64214	1859	0
215378	3172	0
100043240	3910	1
791353	1179	0
100503781	490	0
18783	2846	102
320019	1098	1
19225	4150	1891
100043257	532	363
100043261	345	11
20028	1247	0
75584	610	0
226499	3242	518
108989	7550	1485
96875	4278	16
545370	18316	284
402734	2640	0
73176	1674	0
117198	5037	1427
66875	3668	960
98685	2665	293
19821	3028	372
100503012	373	88
63913	3939	760
66967	6604	897
69399	9754	257
66637	1133	88
269132	4056	54
19731	3887	147
100861876	505	1
71281	1566	0
67771	1897	1256
100503084	519	0
17970	2596	6
226517	6069	748
226518	4523	13
16782	5164	2060
226519	7622	2122
626058	2827	0
71836	2045	0
13211	4613	1701
74091	1403	2
67792	5804	0
329271	3337	0
19734	2335	158
24014	4758	53
240816	3640	4
240817	1654	1
433365	2527	0
240819	1415	1
14645	2782	1675
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	3
15939	3270	2258
15064	2509	137
58244	2459	748
207792	4611	39
100503411	2791	0
19775	7651	468
433367	1751	6
72482	1942	299
16872	1853	0
100861926	688	0
104009	3361	521
74081	13307	722
208263	4439	1006
240832	8112	1542
329274	3687	1
214575	3443	89
170484	3108	19
77352	3297	51
20652	4785	4517
11352	10714	567
30935	3268	422
100503836	636	0
215015	4238	1011
78255	7133	78
72713	2190	2
73435	898	0
226525	10046	99
69953	1194	36
226527	1289	153
89867	4651	86
100504090	420	0
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	7
72025	2475	0
26374	5056	219
100217414	118	2
21960	5395	1
67647	5391	408
75255	887	6
329278	5812	18
64659	1970	304
12301	2115	420
29809	9489	1256
100316784	109	0
620246	1086	0
620750	465	4
381305	11011	748
11905	2162	8
240869	3883	93
14455	2554	1980
100628588	91	0
100217446	65	39
226539	3581	108
70454	4327	30
226541	4037	175
73844	3723	14
100502590	954	0
11758	2334	4812
22164	1609	0
240873	2064	1
14103	1935	1
226551	6308	882
75368	1164	1
67292	3301	234
103967	7523	46
72753	919	3
474332	7928	6
723821	110	0
387210	110	0
71449	2791	108
53330	2532	240
17926	2080	14
100038657	741	2
226562	10444	2070
226564	1787	31
14261	2326	332
55990	3336	2433
226565	1870	0
14262	2010	22
78258	2956	0
18933	7448	64
98376	2509	141
240879	1053	0
16579	3907	273
240880	4069	338
381306	2912	11
69962	1457	51
20339	2912	1
20343	2321	4
20344	3438	3
100503816	1241	0
14067	7406	7
116914	3546	115
74895	1896	168
66352	4035	262
171567	3011	399
11931	2422	13345
56429	1636	1055
433374	1588	2
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	1846
226591	4395	403
240888	1943	1
74106	3306	859
70456	854	723
271639	5209	3
68481	2356	442
100503268	612	0
226594	2670	56
100503283	1514	1
433375	2125	2895
12503	4604	5
18986	13123	220
240892	4025	0
59290	2293	1
98558	1546	0
100039795	8260	17
100503318	2514	6
27878	2145	273
71592	7372	523
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	1
226610	4986	2
80914	1338	94
68944	4474	600
100862084	376	0
56752	2833	1221
66447	635	196
240899	1137	0
100503977	287	0
20183	2363	4
110648	3338	0
18514	9027	1757
66977	2405	5
19737	1809	2
100862094	1412	2
19736	2941	11
78465	1440	5
15490	4574	447
67303	1135	12
18214	8290	479
107652	2283	997
16589	2024	152
545378	399	0
622708	1691	0
26904	1433	3
665574	3833	237
76925	713	3
70729	3684	50
320078	3095	42
226641	7463	1087
80915	1374	147
435653	1284	1
98752	1727	1
14130	1547	4
246256	1250	1
14131	1353	4
75472	1034	96
66052	1179	1435
17528	1993	157
66425	1575	50
12355	1414	1
641376	2920	364
11807	521	2
14127	658	19
226646	1606	1731
240913	3673	32
57370	1998	958
19044	1821	476
30941	2185	405
66155	964	497
100862110	308	0
100504072	1662	4
21945	2733	380
27045	1374	566
18637	622	470
68874	1555	127
71740	3504	765
226652	4488	14
22278	1822	410
226654	551	14
16456	2482	2481
56009	1273	43
16429	1140	0
18106	3758	0
17085	2449	2
75345	3977	1
12506	1142	5
100041098	195	187
27218	2688	0
12523	6253	5
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	51
18071	2487	1
59287	2855	1168
12847	4629	2710
100504176	730	0
19298	3131	957
98193	3743	1958
18611	2477	771
12372	1874	3
27222	3485	0
98660	6227	754
140559	2234	475
16524	3270	0
16513	5407	6
67556	7569	352
100862199	620	0
98365	1145	10
93842	4249	39
21346	1382	3645
71870	1822	48
71319	941	6
240916	1879	7
74748	2040	2
677296	1914	0
68440	1417	102
100040320	811	3
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	0
94332	4159	2
383619	2541	1
240921	2951	3
545384	1294	0
623121	2680	2
236312	3497	3
100033459	2987	17
100504251	716	0
226691	3484	1
15951	2296	3
100504287	1468	2
666028	634	0
100040462	1908	38
381308	1651	2
15950	3793	37
26388	1796	0
226695	1613	2
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	3
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	2
23893	3745	190
24012	2487	2
14194	1632	783
98256	2498	2
13603	1721	19
12663	6117	163
75820	3817	0
26909	5506	6
319455	3894	0
545389	6930	176
723921	99	0
76816	2619	162
15365	1510	7
23797	4735	134
30928	5106	381
75589	698	0
69428	749	0
11566	2553	869
631584	2790	1
545391	1663	24
78825	4214	316
791357	1199	4
75164	651	1
666295	875	387
320110	427	2
66359	448	365
51810	3670	3400
68226	2539	69
269152	7406	8
69726	3769	108
15278	2448	76
226744	4545	1244
109232	1922	295
226747	8831	755
100503705	1428	0
226751	8656	2176
67426	4076	254
19165	2084	313
277333	3581	28
320404	5101	581
381310	6557	10
11545	3827	516
72568	3377	48
27217	2294	0
170760	3471	720
100504581	591	0
15078	1076	238
208768	3189	475
100504598	177	0
320202	2462	0
100862334	599	0
69051	1599	224
13590	1604	14
208795	3239	1090
13849	1665	1194
619326	1898	1
67459	3060	251
98417	3268	298
226757	7047	1687
329307	2505	3
72978	2727	0
403180	1819	11
240960	13996	2
98386	3552	950
433384	1343	4
13800	4288	94
27058	1388	455
625823	921	0
13244	2005	3197
67330	686	0
67948	4913	420
209456	4370	998
12334	3185	1351
170725	3705	3
433386	2055	0
96935	2035	202
53791	3199	86
68897	5030	124
71678	3456	465
108909	3293	221
338366	6678	858
21339	2386	142
78772	2736	2
73363	967	2
63953	2712	84
73590	778	0
74971	1722	0
15284	2149	26
66112	2161	2
67247	1883	1114
100316821	82	0
226777	2853	788
226778	4565	17
98732	6988	557
100217449	113	0
381314	3540	944
387189	67	2
387211	112	0
23827	2182	514
107508	4850	1004
319562	3406	0
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	106
21808	4725	52
67223	1213	87
110957	3212	1
74717	1645	13
69308	823	0
67769	4565	272
100862400	1119	35
26381	5580	1
320272	2212	0
22283	15891	0
226823	3703	510
16526	3959	365
100042424	516	225
100039307	642	6
108000	11130	22
19250	10746	282
226830	1605	156
19130	4139	1
100504619	832	0
320119	3995	326
52477	3349	635
226841	4190	1
226844	4087	506
100125339	1649	5
75558	428	2
68972	1258	108
381318	2973	10
381319	712	3
619288	2234	133
11910	1977	6963
100504360	568	41
100861628	406	2
66208	658	203
66950	4204	112
226849	3082	927
100504379	2421	1
76843	4202	11
77065	3252	282
226856	7246	732
18005	3197	26
98736	4362	1
22782	5230	173
74023	3720	6
22033	2102	28
100628582	81	0
100042625	720	822
