GeneID	Length	CD24-L-4
100217415	248	0
20215	1718	4
100503175	947	2
227333	5694	623
227334	5316	374
394430	3242	0
394434	3216	0
394432	3294	5
394435	2293	27
94284	3302	684
394433	3208	3
22236	3206	3
15504	1017	9
394436	3229	10
100040766	7526	9
381280	8439	121
78605	3662	0
171382	3844	0
75396	870	3
14659	1957	1
100503197	2622	8
320982	3967	753
78650	476	0
73475	603	2
98402	3673	467
77331	591	0
347722	9581	410
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	403
12778	2579	283
108679	1843	532
433332	1207	0
12835	10841	574
171531	4484	1197
623503	261	4
19329	1950	46
16978	5743	1707
329207	3851	3
51801	3022	276
67921	1363	360
665783	892	62
50880	2207	214
227357	5442	18
100503326	684	0
70788	3020	4
227358	2815	14
67444	1368	601
67086	547	6
55927	1335	455
18627	5837	954
74019	3500	1302
65247	6072	291
13345	1312	4
208727	3960	83
67273	1220	628
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	300
260301	704	0
14733	3552	88
100504295	543	0
387167	66	0
241158	3243	38
67446	1491	106
108657	3039	977
100037260	1689	1
23830	2877	224
64095	4396	17
208760	1088	0
16560	8257	273
11611	1517	2
71874	2362	796
381284	7348	742
208777	4474	502
69821	3315	850
269224	5119	48
66385	3653	367
404545	3217	12
110611	6238	3329
18000	3335	1490
227377	3912	71
59041	3254	1464
51800	1432	298
67026	2160	305
66615	2964	463
21915	1310	294
66262	4539	297
98314	3058	161
381334	2846	1
100041596	1185	0
666009	570	1
619597	4059	0
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	394
20452	5677	100
75381	761	0
100504401	921	0
73454	356	0
75159	583	0
227394	2394	221
329217	3849	110
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	335
227399	5565	278
252876	2041	93
18484	4103	2963
78603	1178	14
69030	1687	1
70866	2328	0
100504494	800	15
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	29
100504568	1284	0
27392	6777	297
227446	5406	547
100042023	231	12
21934	5022	156
635504	465	5
227449	6661	355
626049	545	0
98432	6104	551
12043	7749	136
320761	1243	0
70750	5582	406
20479	3272	751
20724	2565	28
71869	1735	1
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
